"caso" "rendimiento" "pp" "temp" "fertP" "fertZ"
"1" 24 135.75 22.2083333333333 15.225 15.6549605701938
"2" 21.6 134.21 25.0972222222222 17.41775 12.6133407765646
"3" 34.7 141.85 21.5486111111111 17.41775 12.4312158339523
"4" 33.4 139.98 20.7916666666667 20.1555 10.6788743614496
"5" 36.2 141.47 22.4513888888889 20.1555 20.0083464781421
"6" 28.7 134.3 22.3680555555556 20.1555 9.03645393541813
"7" 22.9 130.12 27.3819444444444 18.90125 13.9328568968918
"8" 27.1 131.72 32.0486111111111 19.87625 13.3209741972622
"9" 16.5 126.31 39.5347222222222 20.20525 13.2510818869247
"10" 18.9 130.04 30.625 21.48025 11.2628267181397
"11" 15 133.77 32.9513888888889 20.86675 9.8341936684456
"12" 18.9 130.09 27.9652777777778 20.56675 17.2642185689222
"13" 21.7 128.89 29.6597222222222 18.62725 7.92779571375142
"14" 20.4 129.49 24.4861111111111 16.76875 10.7133217314492
"15" 18.2 130.96 25.875 16.15475 12.4276844734795
"16" 19.9 128.34 24.6319444444444 16.2465 13.2607370353022
"17" 23.1 129.35 23.3194444444444 16.2465 18.3990788853521
"18" 17.5 129.9 28.9375 15.64475 6.07775393059715
"19" 20.2 124.56 26.8680555555556 14.49125 5.82538855480098
"20" 18.2 127.27 26.5833333333333 14.49125 14.3027795456001
"21" 13.6 125.7 33.3472222222222 14.49475 6.77863577542343
"22" 19.6 129.65 28.3541666666667 15.03075 13.1785807053512
"23" 15.2 131.42 31.75 14.94225 7.88330380941369
"24" 14.5 128.13 32.5555555555556 15.238 6.91813389991822
"25" 15.6 129.24 30.0694444444444 15.999 15.1957835320806
"26" 13.9 125.99 30.2152777777778 16.1365 10.7959083584251
"27" 16.6 128.13 29.0347222222222 16.705 13.401613678283
"28" 14.8 130.47 30.75 16.1335 9.53938259552128
"29" 18.4 134.95 27.6388888888889 16.13675 12.8548550286141
"30" 21 136.74 27.0694444444444 15.5975 10.0885626200622
"31" 12.7 127.13 34.4444444444444 15.5825 11.1153645521372
"32" 14.5 130.72 27.8055555555556 15.4375 12.7128010358847
"33" 13.2 129.5 37.9930555555556 14.975 11.400612456912
"34" 13.1 127.01 31.4930555555556 14.468 10.9493982360556
"35" 13.5 130.96 32.875 14.3995 9.31988534955172
"36" 18.9 129.33 25.4722222222222 13.40075 14.871011290529
"37" 20 128.41 26.6736111111111 13.44475 13.2953131824824
"38" 21 128.5 24.8402777777778 14.8355 12.4433755109093
"39" 24.7 129.66 25.7847222222222 14.61825 12.761603324194
"40" 30.8 135.95 21.75 18.50275 13.3773299961295
"41" 34.9 140.24 20.125 18.50275 9.8031903021201
"42" 26.6 137.7 22.1111111111111 19.30225 12.3688296536002
"43" 25.3 131.69 22.7847222222222 19.30225 9.35087600594597
"44" 24.7 132.11 23.9166666666667 19.30225 7.51255641700481
"45" 21.2 130.69 25.3819444444444 19.30225 11.0910168306778
"46" 19.3 126.82 25.8402777777778 17.751 11.5080284573771
"47" 20 127.86 28.5763888888889 17.751 14.1323540981897
